,title,description,link,plink,pubDate
48,Condoleezza Rice reflects on 9/11 call,Bush's national security adviser Condoleezza Rice remembers the day she received the call informing her about 9/11.,https://www.bbc.co.uk/news/world-us-canada-58529172?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58529172,"Sat, 11 Sep 2021 16:46:29 GMT"
49,Tom Malinowski: US-Afghanistan conflict to continue,Democratic US Congressman Tom Malinowski says US troops will continue counter-terrorism strikes.,https://www.bbc.co.uk/news/world-us-canada-58562490?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58562490,"Tue, 14 Sep 2021 17:11:54 GMT"
50,Robert E Lee: Confederate general statue removed in Virginia,"After a long legal battle, the Robert E Lee monument came down in the former Confederate capital.",https://www.bbc.co.uk/news/world-us-canada-58494291?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58494291,"Wed, 08 Sep 2021 17:40:10 GMT"
51,Esports: Why are there so few professional women gamers?,"There are no female players in the top 300 earners in esports, according to research shared with BBC News.",https://www.bbc.co.uk/news/technology-58466374?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/technology-58466374,"Mon, 06 Sep 2021 23:13:55 GMT"
52,Storm Ida aftermath: 'I can't even count my losses from the flooding right now',Residents in the US north-east assess the scale of the devastation caused by Tropical Storm Ida.,https://www.bbc.co.uk/news/world-us-canada-58432047?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58432047,"Fri, 03 Sep 2021 12:11:08 GMT"
53,Storm Ida: Floodwater pours into New York City subway station,"Videos also show passengers on flooded buses and cars being swept away, after record rainfall from Storm Ida.",https://www.bbc.co.uk/news/world-us-canada-58418627?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58418627,"Thu, 02 Sep 2021 20:22:02 GMT"
54,Millions of Americans at risk of eviction,"After a Covid-era ban on evictions ends, millions of Americans are at risk of losing their homes.",https://www.bbc.co.uk/news/world-us-canada-58403607?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58403607,"Tue, 31 Aug 2021 22:03:02 GMT"
55,Caldor Fire: Thousands flee as Lake Tahoe under threat,Traffic clogs evacuation routes as residents and tourists flee from the encroaching Caldor Fire.,https://www.bbc.co.uk/news/world-us-canada-58402381?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58402381,"Tue, 31 Aug 2021 18:06:45 GMT"
56,Biden defends pulling US troops out before all Americans evacuated,Joe Biden defends his decision to pull US troops out of Afghanistan before all Americans were evacuated.,https://www.bbc.co.uk/news/world-us-canada-58403601?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58403601,"Tue, 31 Aug 2021 20:17:08 GMT"
57,Bodies of US troops killed in Kabul returned to America,"A ""dignified transfer"" ceremony takes place at Dover Air Force Base, Delaware, to receive their remains.",https://www.bbc.co.uk/news/world-us-canada-58380339?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58380339,"Sun, 29 Aug 2021 22:15:38 GMT"
