titled,descriptiond,pubdated,linkd
How US police training compares with the rest of the world,"Amid calls to improve training in the US, we examine how it compares with other developed countries.","Mon, 17 May 2021 23:39:10 GMT",https://www.bbc.co.uk/news/world-us-canada-56834733?at_medium=RSS&at_campaign=KARANGA
My husband and son fought in Afghanistan - it changed all of us,America's two decades in Afghanistan impacted those who served - and the families waiting at home.,"Sun, 19 Sep 2021 18:46:45 GMT",https://www.bbc.co.uk/news/world-us-canada-58603119?at_medium=RSS&at_campaign=KARANGA
From Katrina to Ida: How US presidents react to climate change and natural disasters,"Since Hurricane Katrina in 2005, US presidents have realised the impact of their reactions to extreme weather.","Sat, 18 Sep 2021 23:02:19 GMT",https://www.bbc.co.uk/news/world-us-canada-58561655?at_medium=RSS&at_campaign=KARANGA
Canada election: Why it takes 30 years to buy a house in Canada,Canada's skyrocketing housing costs have become a key election issue this year.,"Sat, 18 Sep 2021 00:31:43 GMT",https://www.bbc.co.uk/news/world-us-canada-58495604?at_medium=RSS&at_campaign=KARANGA
Canadian prairie ranchers struggle with drought conditions,"Amid a severe drought in the Prairies, some ranchers are trying to find ways to work with nature.","Wed, 15 Sep 2021 23:04:28 GMT",https://www.bbc.co.uk/news/world-us-canada-58573877?at_medium=RSS&at_campaign=KARANGA
Olympic gymnasts give powerful testimony about sexual abuse,Gymnasts Simone Biles and McKayla Maroney testified before the Senate about Larry Nassar's abuse.,"Wed, 15 Sep 2021 19:09:40 GMT",https://www.bbc.co.uk/news/world-us-canada-58576775?at_medium=RSS&at_campaign=KARANGA
Match crowd catches falling cat in a flag,"The cat used one of its nine lives at the American football match in Miami Gardens, Florida.","Sun, 12 Sep 2021 19:43:50 GMT",https://www.bbc.co.uk/news/world-us-canada-58540023?at_medium=RSS&at_campaign=KARANGA
Condoleezza Rice reflects on 9/11 call,Bush's national security adviser Condoleezza Rice remembers the day she received the call informing her about 9/11.,"Sat, 11 Sep 2021 16:46:29 GMT",https://www.bbc.co.uk/news/world-us-canada-58529172?at_medium=RSS&at_campaign=KARANGA
Tom Malinowski: US-Afghanistan conflict to continue,Democratic US Congressman Tom Malinowski says US troops will continue counter-terrorism strikes.,"Tue, 14 Sep 2021 17:11:54 GMT",https://www.bbc.co.uk/news/world-us-canada-58562490?at_medium=RSS&at_campaign=KARANGA
Robert E Lee: Confederate general statue removed in Virginia,"After a long legal battle, the Robert E Lee monument came down in the former Confederate capital.","Wed, 08 Sep 2021 17:40:10 GMT",https://www.bbc.co.uk/news/world-us-canada-58494291?at_medium=RSS&at_campaign=KARANGA
Esports: Why are there so few professional women gamers?,"There are no female players in the top 300 earners in esports, according to research shared with BBC News.","Mon, 06 Sep 2021 23:13:55 GMT",https://www.bbc.co.uk/news/technology-58466374?at_medium=RSS&at_campaign=KARANGA
Storm Ida aftermath: 'I can't even count my losses from the flooding right now',Residents in the US north-east assess the scale of the devastation caused by Tropical Storm Ida.,"Fri, 03 Sep 2021 12:11:08 GMT",https://www.bbc.co.uk/news/world-us-canada-58432047?at_medium=RSS&at_campaign=KARANGA
Storm Ida: Floodwater pours into New York City subway station,"Videos also show passengers on flooded buses and cars being swept away, after record rainfall from Storm Ida.","Thu, 02 Sep 2021 20:22:02 GMT",https://www.bbc.co.uk/news/world-us-canada-58418627?at_medium=RSS&at_campaign=KARANGA
Millions of Americans at risk of eviction,"After a Covid-era ban on evictions ends, millions of Americans are at risk of losing their homes.","Tue, 31 Aug 2021 22:03:02 GMT",https://www.bbc.co.uk/news/world-us-canada-58403607?at_medium=RSS&at_campaign=KARANGA
Caldor Fire: Thousands flee as Lake Tahoe under threat,Traffic clogs evacuation routes as residents and tourists flee from the encroaching Caldor Fire.,"Tue, 31 Aug 2021 18:06:45 GMT",https://www.bbc.co.uk/news/world-us-canada-58402381?at_medium=RSS&at_campaign=KARANGA
Biden defends pulling US troops out before all Americans evacuated,Joe Biden defends his decision to pull US troops out of Afghanistan before all Americans were evacuated.,"Tue, 31 Aug 2021 20:17:08 GMT",https://www.bbc.co.uk/news/world-us-canada-58403601?at_medium=RSS&at_campaign=KARANGA
Bodies of US troops killed in Kabul returned to America,"A ""dignified transfer"" ceremony takes place at Dover Air Force Base, Delaware, to receive their remains.","Sun, 29 Aug 2021 22:15:38 GMT",https://www.bbc.co.uk/news/world-us-canada-58380339?at_medium=RSS&at_campaign=KARANGA
Delta variant: How to keep kids safe as they return to school,A return to school for millions of children has many parents worried how to keep kids safe.,"Wed, 25 Aug 2021 22:50:12 GMT",https://www.bbc.co.uk/news/world-us-canada-58208076?at_medium=RSS&at_campaign=KARANGA
Towering twin waterspouts spotted by Florida beachgoers,Twin funnels forming from the sky to the sea off the Florida coast surprised beachgoers.,"Wed, 25 Aug 2021 20:14:16 GMT",https://www.bbc.co.uk/news/world-us-canada-58336868?at_medium=RSS&at_campaign=KARANGA
CEO Secrets: 'Tear up the business plan',CEO Secrets: Brooklyn Brewery boss Eric Ottaway says - be ready to ditch your business plan.,"Tue, 24 Aug 2021 23:11:38 GMT",https://www.bbc.co.uk/news/business-58316843?at_medium=RSS&at_campaign=KARANGA
Storm Henri: Lightning strikes One World Trade Center,"The strike was captured as Storm Henri approached the north-east of the US, bringing heavy rain.","Mon, 23 Aug 2021 11:57:48 GMT",https://www.bbc.co.uk/news/world-us-canada-58304611?at_medium=RSS&at_campaign=KARANGA
Turmoil in Afghanistan hits close to home in America too,Christine's husband was killed in Afghanistan - she's horrified by the Taliban's return to power.,"Fri, 20 Aug 2021 23:57:39 GMT",https://www.bbc.co.uk/news/world-us-canada-58288575?at_medium=RSS&at_campaign=KARANGA
New York officer rescues fallen man from subway train,A bystander captured the harrowing moments after a passenger fell unconscious from the platform.,"Thu, 19 Aug 2021 23:45:06 GMT",https://www.bbc.co.uk/news/world-us-canada-58277097?at_medium=RSS&at_campaign=KARANGA
How technology in the air battles fires on the ground,Planes equipped with infrared scanners are helping authorities take on historic wildfires in the US.,"Tue, 17 Aug 2021 21:53:09 GMT",https://www.bbc.co.uk/news/world-us-canada-58248261?at_medium=RSS&at_campaign=KARANGA
Canada 'Sixties Scoop': Indigenous survivors map out their stories,"Canada's ""Sixties Scoop"" saw thousands of indigenous children forcibly removed from their families.","Mon, 14 Dec 2020 00:05:26 GMT",https://www.bbc.co.uk/news/world-us-canada-55269251?at_medium=RSS&at_campaign=KARANGA
New Christmas campaign for Canadians held in China,The campaign is based on efforts around a similar case involving a British journalist fifty years ago.,"Thu, 10 Dec 2020 01:39:37 GMT",https://www.bbc.co.uk/news/world-us-canada-55249770?at_medium=RSS&at_campaign=KARANGA
New Brunswick outbreak: How a smalltown doctor became a Covid pariah,"After being labelled ""patient zero"", a small-town physician in Canada was shunned.","Wed, 25 Nov 2020 01:23:46 GMT",https://www.bbc.co.uk/news/world-us-canada-54686672?at_medium=RSS&at_campaign=KARANGA
